Id_venda;Data;Marca;Modelo;ValorUnitario;QtdeProduto;Pagamento_forma;;;
59;14/01/2026;Redmi;Note 14;1250;1;Cartão;;;
60;14/01/2026;Realme;C75;1250;1;Cartão;;;
61;15/01/2026;Realme;C75;1250;1;Cartão;;;
62;16/01/2026;Iphone;XR;850;1;Cartão;;;
63;21/01/2026;Iphone;13;2300;1;Cartão;;;
64;21/01/2026;Redmi;Note 14;1250;1;Cartão;;;
65;21/01/2026;Redmi;Note 14S;1400;1;Cartão;;;
66;22/01/2026;Iphone;11;1400;1;Cartão;;;
67;24/01/2026;Samsung;S25 Ultra;5500;1;Cartão;;;
68;24/01/2026;Realme;Note 60X;750;2;Cartão + Pix;;;
69;24/01/2026;Poco;X7 Pro;2300;1;car;;;
70;26/01/2026;Poco;C85;1000;1;Pix;;;
71;26/01/2026;Iphone;16E;3200;1;Cartão;;;
72;28/01/2026;Samsung;S24 Ultra;4300;1;Cartão;;;
73;30/01/2026;Samsung;A07;750;2;Cartão + Pix;;;
74;30/01/2026;Poco;C85;1000;1;Cartão;;;
75;30/01/2026;Redmi;13C;700;1;Pix;;;
76;31/01/2026;Iphone;15;4600;1;Cartão + Pix;;;
77;02/02/2026;Samsung;A03 Core;500;1;Cartão;;;
78;02/02/2026;Motorola;E32;500;1;Cartão;;;
79;02/02/2026;Realme;Note 70;970;1;Cartão + Pix;;;
80;03/02/2026;Realme;C75;1250;1;Pix;;;
81;03/02/2026;Poco;X7 Pro;2300;1;Cartão + Pix;;;
82;03/02/2026;Redmi;Note 14;1250;1;Pix;;;
83;04/02/2026;Redmi;15C;1000;1;Pix;;;
84;06/02/2026;Poco;C85 Pro;1300;1;Cartão;;;
85;06/02/2026;Redmi;Redmi 15;1250;1;Cartão;;;
86;07/02/2026;Redmi;13C;800;1;Cartão;;;
87;07/02/2026;Iphone;14;3200;1;Cartão;;;
88;08/02/2026;Realme;Note 60X;750;2;Cartão;;;
89;09/02/2026;Poco;C71;900;1;Pix;;;
90;09/02/2026;Samsung;A15;800;1;Pix;;;
91;09/02/2026;Samsung;A55;1500;1;Cartão;;;
92;09/02/2026;Redmi;Note 14;1250;1;Cartão;;;
93;10/02/2026;Iphone ;16E;3200;1;Cartão;;;
94;10/02/2026;Iphone;13;2500;1;Cartão + Pix;;;
95;11/02/2026;Poco;X7 Pro;2300;1;Cartão;;;
96;12/02/2026;Redmi;Note 14 ;1250;2;Cartão;;;
97;12/02/2026;Poco;C71;900;1;pix;;;
98;13/02/2026;Redmi;Note 14;1250;1;pix;;;
99;13/02/2026;Redmi;A5 ;750;1;Cartão;;;
100;19/02/2026;Redmi;Note 14S;1400;1;Cartão;;;
101;19/02/2026;Redmi;Note 15;1550;1;Cartão;;;
102;19/02/2026;Redmi;Note 12 5G;900;1;Cartão;;;
103;20/02/2026;Iphone;13;3200;1;pix;;;
104;20/02/2026;Realme;Note 60X;750;1;Pix;;;
105;21/02/2026;Realme;Note 60X;750;1;Pix;;;
106;21/02/2026;Redmi;A5 ;650;1;Pix;;;
107;23/02/2026;Redmi;Note 14S;1400;1;Cartão + Pix;;;
108;23/02/2026;Redmi;Redmi 15;1550;1;Cartão;;;
109;23/02/2026;Poco;C71;900;1;Cartão;;;
110;23/02/2026;Iphone;11;1400;1;Cartão;;;
111;23/02/2026;Iphone;14;3700;1;Cartão + Pix;;;
112;27/02/2026;Iphone;11;1300;1;Cartão;;;
113;28/02/2026;Realme;Note 60X;750;1;pix;;;
114;28/02/2026;Samsung;A07;750;2;Cartão;;;
115;03/03/2026;Redmi;Note 12S;800;1;Cartão;;;
116;03/03/2026;Poco;C85;1100;1;Cartão;;;
117;03/03/2026;Realme;Note 60X;750;1;Cartão;;;
118;04/03/2026;Redmi;Note 14 ;1250;1;Pix;;;
119;04/03/2026;Iphone ;14 Pro Max;4000;1;Cartão + Pix;;;
120;05/03/2026;Redmi;Note 14;1250;1;Cartão;;;
121;05/03/2026;Iphone ;15;4500;1;Cartão;;;
122;06/03/2026;Realme;Note 60X;750;1;Cartão;;;
123;07/03/2026;Redmi;Redmi 15;1200;1;Pix;;;
124;07/03/2026;Redmi;A5;650;1;Pix;;;
125;07/03/2026;Redmi;15C;1100;1;Cartão + Pix;;;
126;10/03/2026;Realme;Note 60X;750;2;Cartão;;;
127;10/03/2026;Redmi;Note 14S;1400;1;Cartão;;;
128;10/03/2026;Poco;C85  ;1100;1;Cartão;;;
129;11/03/2026;Iphone ;16E;3200;2;Cartão + Pix;;;
130;11/03/2026;Samsung;A07;750;1;Cartão;;;
131;12/03/2026;Redmi;Note 14S;1400;1;Cartão;;;
132;12/03/2026;Samsung;A07;750;1;Pix;;;
133;12/03/2026;Redmi;Redmi 15;1200;1;Cartão + Pix;;;
134;13/03/2026;Poco;C85;1100;1;Pix;;;
135;13/03/2026;Iphone;Iphone 11;1200;1;Cartão;;;
136;13/03/2026;Motorola;G06;800;3;Cartão + Pix;;;
137;13/03/2026;Redmi;Note 14;1250;1;Pix;;;
138;16/03/2026;Iphone ;16E;3200;1;Cartão;;;
139;16/03/2026;Redmi;15C;1100;1;Cartão;;;
140;16/03/2026;Redmi;15;1200;1;Cartão;;;
141;17/03/2026;Redmi;Note 14 Pro;1550;1;Cartão;;;
142;17/03/2026;Redmi;Redmi 15;1200;1;Cartão;;;
143;17/03/2026;Redmi;C75;1200;1;Cartão;;;
144;18/03/2026;Redmi;Redmi 15;1200;1;Cartão;;;
145;19/03/2026;Redmi;13C;500;1;Pix;;;
146;20/03/2026;Redmi;Note 14S;1400;2;Cartão + Pix;;;
147;20/03/2026;Redmi;Redmi 15;1200;1;Pix;;;
148;20/03/2026;Samsung;A07;750;1;Pix;;;
149;20/03/2026;Iphone;15;4500;1;Cartão;;;
150;21/03/2026;Redmi;Redmi 15;1200;2;Cartão;;;
151;21/03/2026;Redmi;A5;650;1;Pix;;;
152;21/03/2026;Samsung;S25FE;4500;1;Cartão;;;
153;23/03/2026;Poco;C85  ;1100;1;Cartão;;;
154;23/03/2026;Redmi;Note 12;800;1;Cartão;;;
155;25/03/2026;Redmi;15C;1100;1;Pix;;;
156;25/03/2026;Redmi;Note 14;1250;1;Cartão;;;
157;25/03/2026;Iphone ;14;4000;1;Cartão + Pix;;;
158;26/03/2026;Redmi;Note 15;1550;1;Cartão;;;
159;26/03/2026;Motorola;G06;800;1;Pix;;;
160;26/03/2026;Samsung;A15;900;1;Pix;;;
161;27/03/2026;Infinix;Hot 50;900;1;Pix;;;
162;28/03/2026;Redmi;15C;1100;1;Cartão;;;
163;28/03/2026;Poco;C85  ;1100;1;Cartão;;;
164;28/03/2026;Redmi;Redmi 15;1200;1;Cartão;;;
165;28/03/2026;Samsung;A07;750;1;Pix;;;
166;28/03/2026;Redmi;Note 12;800;1;Pix;;;
167;29/03/2026;Poco;C85 Pro;1550;1;Cartão + Pix;;;
168;29/03/2026;Samsung;A07;750;1;Pix;;;
