Id_venda,Data,Mes_Ano,Marca,Modelo,ValorUnitario,QtdeProduto,ValorTotal,Pagamento_forma
68,2026-01-24,2026-01,Realme,Note 60X,750,2,1500,Cartão + Pix
69,2026-01-24,2026-01,Poco,X7 Pro,2300,1,2300,car
70,2026-01-26,2026-01,Poco,C85,1000,1,1000,Pix
71,2026-01-26,2026-01,Iphone,16E,3200,1,3200,Cartão
72,2026-01-28,2026-01,Samsung,S24 Ultra,4300,1,4300,Cartão
73,2026-01-30,2026-01,Samsung,A07,750,2,1500,Cartão + Pix
74,2026-01-30,2026-01,Poco,C85,1000,1,1000,Cartão
75,2026-01-30,2026-01,Redmi,13C,700,1,700,Pix
76,2026-01-31,2026-01,Iphone,15,4600,1,4600,Cartão + Pix
77,2026-02-02,2026-02,Samsung,A03 Core,500,1,500,Cartão
78,2026-02-02,2026-02,Motorola,E32,500,1,500,Cartão
79,2026-02-02,2026-02,Realme,Note 70,970,1,970,Cartão + Pix
80,2026-02-03,2026-02,Realme,C75,1250,1,1250,Pix
81,2026-02-03,2026-02,Poco,X7 Pro,2300,1,2300,Cartão + Pix
82,2026-02-03,2026-02,Redmi,Note 14,1250,1,1250,Pix
83,2026-02-04,2026-02,Redmi,15C,1000,1,1000,Pix
84,2026-02-06,2026-02,Poco,C85 Pro,1300,1,1300,Cartão
85,2026-02-06,2026-02,Redmi,Redmi 15,1250,1,1250,Cartão
86,2026-02-07,2026-02,Redmi,13C,800,1,800,Cartão
87,2026-02-07,2026-02,Iphone,14,3200,1,3200,Cartão
88,2026-02-08,2026-02,Realme,Note 60X,750,2,1500,Cartão
89,2026-02-09,2026-02,Poco,C71,900,1,900,Pix
90,2026-02-09,2026-02,Samsung,A15,800,1,800,Pix
91,2026-02-09,2026-02,Samsung,A55,1500,1,1500,Cartão
92,2026-02-09,2026-02,Redmi,Note 14,1250,1,1250,Cartão
93,2026-02-10,2026-02,Iphone ,16E,3200,1,3200,Cartão
94,2026-02-10,2026-02,Iphone,13,2500,1,2500,Cartão + Pix
95,2026-02-11,2026-02,Poco,X7 Pro,2300,1,2300,Cartão
96,2026-02-12,2026-02,Redmi,Note 14 ,1250,2,2500,Cartão
97,2026-02-12,2026-02,Poco,C71,900,1,900,pix
98,2026-02-13,2026-02,Redmi,Note 14,1250,1,1250,pix
99,2026-02-13,2026-02,Redmi,A5 ,750,1,750,Cartão
100,2026-02-19,2026-02,Redmi,Note 14S,1400,1,1400,Cartão
101,2026-02-19,2026-02,Redmi,Note 15,1550,1,1550,Cartão
102,2026-02-19,2026-02,Redmi,Note 12 5G,900,1,900,Cartão
103,2026-02-20,2026-02,Iphone,13,3200,1,3200,pix
104,2026-02-20,2026-02,Realme,Note 60X,750,1,750,Pix
105,2026-02-21,2026-02,Realme,Note 60X,750,1,750,Pix
106,2026-02-21,2026-02,Redmi,A5 ,650,1,650,Pix
107,2026-02-23,2026-02,Redmi,Note 14S,1400,1,1400,Cartão + Pix
108,2026-02-23,2026-02,Redmi,Redmi 15,1550,1,1550,Cartão
109,2026-02-23,2026-02,Poco,C71,900,1,900,Cartão
110,2026-02-23,2026-02,Iphone,11,1400,1,1400,Cartão
111,2026-02-23,2026-02,Iphone,14,3700,1,3700,Cartão + Pix
112,2026-02-27,2026-02,Iphone,11,1300,1,1300,Cartão
113,2026-02-28,2026-02,Realme,Note 60X,750,1,750,pix
114,2026-02-28,2026-02,Samsung,A07,750,2,1500,Cartão
115,2026-03-03,2026-03,Redmi,Note 12S,800,1,800,Cartão
116,2026-03-03,2026-03,Poco,C85,1100,1,1100,Cartão
117,2026-03-03,2026-03,Realme,Note 60X,750,1,750,Cartão
118,2026-03-04,2026-03,Redmi,Note 14 ,1250,1,1250,Pix
119,2026-03-04,2026-03,Iphone ,14 Pro Max,4000,1,4000,Cartão + Pix
120,2026-03-05,2026-03,Redmi,Note 14,1250,1,1250,Cartão
121,2026-03-05,2026-03,Iphone ,15,4500,1,4500,Cartão
122,2026-03-06,2026-03,Realme,Note 60X,750,1,750,Cartão
123,2026-03-07,2026-03,Redmi,Redmi 15,1200,1,1200,Pix
124,2026-03-07,2026-03,Redmi,A5,650,1,650,Pix
125,2026-03-07,2026-03,Redmi,15C,1100,1,1100,Cartão + Pix
126,2026-03-10,2026-03,Realme,Note 60X,750,2,1500,Cartão
127,2026-03-10,2026-03,Redmi,Note 14S,1400,1,1400,Cartão
128,2026-03-10,2026-03,Poco,C85  ,1100,1,1100,Cartão
129,2026-03-11,2026-03,Iphone ,16E,3200,2,6400,Cartão + Pix
130,2026-03-11,2026-03,Samsung,A07,750,1,750,Cartão
131,2026-03-12,2026-03,Redmi,Note 14S,1400,1,1400,Cartão
132,2026-03-12,2026-03,Samsung,A07,750,1,750,Pix
133,2026-03-12,2026-03,Redmi,Redmi 15,1200,1,1200,Cartão + Pix
134,2026-03-13,2026-03,Poco,C85,1100,1,1100,Pix
135,2026-03-13,2026-03,Iphone,Iphone 11,1200,1,1200,Cartão
136,2026-03-13,2026-03,Motorola,G06,800,3,2400,Cartão + Pix
137,2026-03-13,2026-03,Redmi,Note 14,1250,1,1250,Pix
138,2026-03-16,2026-03,Iphone ,16E,3200,1,3200,Cartão
139,2026-03-16,2026-03,Redmi,15C,1100,1,1100,Cartão
140,2026-03-16,2026-03,Redmi,15,1200,1,1200,Cartão
141,2026-03-17,2026-03,Redmi,Note 14 Pro,1550,1,1550,Cartão
142,2026-03-17,2026-03,Redmi,Redmi 15,1200,1,1200,Cartão
143,2026-03-17,2026-03,Redmi,C75,1200,1,1200,Cartão
144,2026-03-18,2026-03,Redmi,Redmi 15,1200,1,1200,Cartão
145,2026-03-19,2026-03,Redmi,13C,500,1,500,Pix
146,2026-03-20,2026-03,Redmi,Note 14S,1400,2,2800,Cartão + Pix
147,2026-03-20,2026-03,Redmi,Redmi 15,1200,1,1200,Pix
148,2026-03-20,2026-03,Samsung,A07,750,1,750,Pix
149,2026-03-20,2026-03,Iphone,15,4500,1,4500,Cartão
150,2026-03-21,2026-03,Redmi,Redmi 15,1200,2,2400,Cartão
151,2026-03-21,2026-03,Redmi,A5,650,1,650,Pix
152,2026-03-21,2026-03,Samsung,S25FE,4500,1,4500,Cartão
153,2026-03-23,2026-03,Poco,C85  ,1100,1,1100,Cartão
154,2026-03-23,2026-03,Redmi,Note 12,800,1,800,Cartão
155,2026-03-25,2026-03,Redmi,15C,1100,1,1100,Pix
156,2026-03-25,2026-03,Redmi,Note 14,1250,1,1250,Cartão
157,2026-03-25,2026-03,Iphone ,14,4000,1,4000,Cartão + Pix
158,2026-03-26,2026-03,Redmi,Note 15,1550,1,1550,Cartão
159,2026-03-26,2026-03,Motorola,G06,800,1,800,Pix
160,2026-03-26,2026-03,Samsung,A15,900,1,900,Pix
161,2026-03-27,2026-03,Infinix,Hot 50,900,1,900,Pix
162,2026-03-28,2026-03,Redmi,15C,1100,1,1100,Cartão
163,2026-03-28,2026-03,Poco,C85  ,1100,1,1100,Cartão
164,2026-03-28,2026-03,Redmi,Redmi 15,1200,1,1200,Cartão
165,2026-03-28,2026-03,Samsung,A07,750,1,750,Pix
166,2026-03-28,2026-03,Redmi,Note 12,800,1,800,Pix
167,2026-03-29,2026-03,Poco,C85 Pro,1550,1,1550,Cartão + Pix
168,2026-03-29,2026-03,Samsung,A07,750,1,750,Pix
